Time of Visit,IP Address,Request Method,Status Code,Navigation Pages,Country,Sports,Number of Visit,Gender,Age,Cluster
00:22:41,56.246.44.6,POST,200,venue information.html,Ukraine,Volleyball,Never,Female,54,1
03:51:24,158.142.65.33,GET,200,sechedule.html,Comoros,Swimming,Daily,Male,43,2
14:57:13,179.225.235.3,PATCH,200,venue information.html,Canada,Wrestling,Daily,Male,35,2
04:45:05,119.214.218.65,POST,400,sechedule.html,Indonesia,Athletics,Once,Female,22,0
22:21:36,130.51.58.191,PATCH,100,index.html,Liberia,Table Tennis,Seldon,Male,60,1
21:50:11,183.124.183.40,GET,200,index.html,Philippines,Badminton,Seldon,Non-binary,70,1
19:02:59,184.237.69.192,CONNECT,200,sechedule.html,Russia,Baseball,Seldon,Male,70,1
12:41:53,89.69.27.201,CONNECT,200,ticketing.html,Portugal,Baseball,Daily,Male,67,1
11:13:42,65.216.161.58,GET,100,sechedule.html,Iran,Swimming,Often,Female,37,2
22:44:47,154.196.127.101,POST,301,ticketing.html,Tanzania,Wrestling,Once,Male,56,0
00:54:39,119.208.54.230,PATCH,403,sechedule.html,Indonesia,Badminton,Daily,Female,28,0
12:14:13,14.35.146.167,HEAD,403,ticketing.html,Venezuela,Table Tennis,Once,Female,68,0
17:48:51,13.151.216.71,GET,200,images/games.html,Russia,Swimming,Daily,Male,45,1
01:45:57,9.212.97.186,PUT,200,sechedule.html,China,Swimming,Once,Male,53,1
09:17:24,148.231.0.65,HEAD,301,searchsports.html,Indonesia,Weightlifting,Often,Male,35,0
21:56:53,35.127.21.251,PUT,301,venue information.html,China,Gymnastics,Once,Non-binary,51,0
11:23:13,69.27.113.42,PUT,200,volunteer.html,Spain,Karate,Seldon,Female,41,2
02:03:51,243.46.179.65,CONNECT,301,sechedule.html,Philippines,Volleyball,Often,Male,51,0
02:26:01,43.3.89.207,GET,200,ticketing.html,Poland,Athletics,Seldon,Non-binary,70,1
21:20:59,65.251.174.61,GET,200,images/games.html,Peru,Swimming,Never,Non-binary,39,2
19:49:34,95.53.96.35,PATCH,400,ticketing.html,China,Swimming,Often,Female,55,0
11:32:55,170.109.229.112,POST,200,index.html,Canada,Football,Seldon,Non-binary,21,2
19:30:30,43.205.151.25,POST,200,images/games.html,China,Football,Often,Female,34,2
12:42:48,149.206.215.253,CONNECT,200,venue information.html,Iran,Baseball,Once,Female,42,2
01:06:36,241.247.22.86,GET,200,sechedule.html,Russia,Football,Once,Female,28,2
17:05:34,18.92.8.27,GET,200,sechedule.html,Tunisia,Karate,Seldon,Non-binary,50,1
21:09:06,212.116.83.70,PATCH,200,sechedule.html,Canada,Swimming,Once,Male,54,1
19:51:29,17.127.240.154,PATCH,301,images/games.html,Poland,Gymnastics,Once,Male,70,1
09:46:20,245.153.215.155,GET,200,sechedule.html,Comoros,Swimming,Daily,Male,30,2
04:35:41,45.7.155.84,PUT,100,ticketing.html,Portugal,Basketball,Seldon,Male,26,2
14:56:25,183.137.112.147,PATCH,200,sechedule.html,New Zealand,Swimming,Often,Female,69,1
00:25:51,209.95.172.12,CONNECT,403,sponsorship.html,Republic of the Congo,Weightlifting,Once,Male,27,0
22:58:44,55.165.167.120,PUT,200,sechedule.html,Indonesia,Athletics,Once,Male,44,2
02:11:26,224.172.171.152,PATCH,200,ticketing.html,Greece,Diving,Often,Non-binary,30,2
06:11:26,32.187.131.18,PATCH,100,searchsports.html,Czech Republic,Football,Once,Male,34,2
21:48:19,53.26.44.215,POST,200,sechedule.html,China,Athletics,Seldon,Male,28,2
10:23:00,245.190.135.204,PATCH,200,venue information.html,Botswana,Athletics,Seldon,Male,62,1
10:23:07,229.213.212.200,CONNECT,200,sponsorship.html,Thailand,Football,Never,Male,53,1
04:54:58,65.8.30.90,GET,200,sechedule.html,Poland,Swimming,Often,Male,27,2
19:01:52,29.177.156.159,CONNECT,200,index.html,Germany,Swimming,Seldon,Male,49,1
05:22:57,221.75.241.239,GET,301,images/games.html,Indonesia,Weightlifting,Seldon,Female,45,0
14:17:28,231.25.188.206,CONNECT,400,venue information.html,Egypt,Basketball,Often,Male,27,0
09:57:32,117.51.21.49,PATCH,200,venue information.html,Indonesia,Shooting,Often,Male,48,1
23:40:54,123.75.64.240,PATCH,200,searchsports.html,China,Gymnastics,Once,Female,24,2
01:12:33,76.191.31.106,POST,100,index.html,Japan,Table Tennis,Seldon,Female,31,2
19:49:36,22.241.28.7,PATCH,200,index.html,Brazil,Boxing,Once,Non-binary,60,1
17:54:35,140.9.11.208,GET,100,ticketing.html,Malaysia,Athletics,Often,Non-binary,36,2
08:57:11,215.219.24.164,GET,200,index.html,Mongolia,Swimming,Seldon,Male,46,1
01:43:49,105.74.41.26,GET,100,searchsports.html,Russia,Gymnastics,Daily,Male,43,2
13:10:52,40.206.93.112,PATCH,200,index.html,Indonesia,Table Tennis,Often,Male,39,2
07:04:24,133.16.54.138,CONNECT,200,venue information.html,France,Badminton,Often,Non-binary,45,1
14:05:25,168.196.140.35,HEAD,200,images/games.html,China,Swimming,Never,Male,33,2
16:25:13,163.165.236.110,PATCH,200,images/games.html,Cuba,Swimming,Often,Female,19,2
03:36:26,15.241.30.126,HEAD,100,images/games.html,Indonesia,Basketball,Seldon,Female,69,1
11:16:42,187.161.92.37,CONNECT,200,searchsports.html,Ukraine,Athletics,Once,Non-binary,29,2
20:13:55,157.93.109.207,PATCH,100,images/games.html,China,Swimming,Seldon,Female,18,2
14:39:30,216.71.119.180,PATCH,200,images/games.html,Russia,Baseball,Never,Female,48,1
23:51:07,152.133.85.245,HEAD,200,index.html,Vietnam,Athletics,Often,Female,43,2
17:06:25,13.247.165.95,GET,200,ticketing.html,Argentina,Gymnastics,Never,Male,70,1
13:43:13,176.119.204.154,GET,200,images/games.html,China,Badminton,Seldon,Non-binary,45,1
04:20:53,184.22.171.122,HEAD,200,sponsorship.html,Yemen,Volleyball,Once,Non-binary,19,2
18:32:23,99.189.161.191,HEAD,100,sechedule.html,Tanzania,Football,Daily,Non-binary,61,1
12:02:16,111.16.138.120,CONNECT,200,venue information.html,Thailand,Swimming,Seldon,Non-binary,57,1
10:00:10,25.154.123.218,PATCH,400,images/games.html,Brazil,Swimming,Seldon,Male,40,0
00:23:21,243.252.248.52,PUT,200,venue information.html,China,Football,Often,Non-binary,43,2
19:26:55,163.197.11.96,HEAD,200,sechedule.html,China,Table Tennis,Often,Male,27,2
13:21:18,8.215.49.62,GET,301,ticketing.html,Indonesia,Boxing,Seldon,Male,56,0
16:22:22,227.143.34.140,HEAD,200,index.html,Portugal,Football,Seldon,Male,54,1
06:16:52,94.136.241.164,POST,200,sechedule.html,Croatia,Badminton,Never,Male,45,1
00:38:01,182.11.94.37,HEAD,100,venue information.html,South Korea,Athletics,Once,Non-binary,27,2
05:11:12,52.252.127.164,PATCH,200,sechedule.html,France,Volleyball,Seldon,Male,21,2
11:11:29,19.229.166.170,GET,301,ticketing.html,Netherlands,Football,Daily,Male,54,0
08:27:27,38.187.31.43,PATCH,200,images/games.html,Tunisia,Volleyball,Daily,Male,52,1
19:54:09,204.136.90.85,HEAD,200,ticketing.html,France,Swimming,Seldon,Male,30,2
22:03:44,3.115.217.119,HEAD,200,images/games.html,Egypt,Swimming,Once,Non-binary,51,1
12:56:09,7.171.16.154,PATCH,400,ticketing.html,Indonesia,Basketball,Seldon,Male,53,0
12:14:24,208.238.81.222,GET,400,index.html,Russia,Table Tennis,Once,Female,55,0
03:57:07,89.47.245.48,CONNECT,200,images/games.html,Cambodia,Basketball,Once,Female,46,1
09:23:04,172.96.215.38,POST,200,venue information.html,Japan,Football,Often,Male,65,1
01:57:20,234.20.221.87,PATCH,200,index.html,France,Athletics,Once,Non-binary,52,1
13:34:34,215.83.92.84,POST,100,index.html,China,Badminton,Often,Male,63,1
03:15:18,109.143.237.198,CONNECT,301,index.html,Sweden,Table Tennis,Daily,Male,43,0
20:09:32,249.122.255.223,POST,200,images/games.html,China,Shooting,Often,Female,36,2
15:44:58,0.252.51.190,HEAD,200,images/games.html,China,Gymnastics,Seldon,Female,54,1
16:52:21,229.48.76.95,GET,200,images/games.html,Sweden,Gymnastics,Often,Non-binary,19,2
10:31:08,119.193.203.241,GET,400,index.html,China,Swimming,Seldon,Female,39,0
00:55:07,248.128.42.60,CONNECT,200,index.html,United Kingdom,Baseball,Often,Male,22,2
22:05:06,159.174.105.102,PATCH,200,venue information.html,Czech Republic,Football,Daily,Male,57,1
21:47:10,56.196.109.232,HEAD,200,venue information.html,China,Fencing,Daily,Male,29,2
19:49:25,248.123.219.163,GET,100,venue information.html,China,Basketball,Once,Male,22,2
09:54:33,11.219.102.105,GET,200,ticketing.html,Indonesia,Athletics,Seldon,Non-binary,47,1
14:39:32,91.25.234.202,PATCH,100,index.html,Czech Republic,Swimming,Once,Male,26,2
08:57:12,165.46.218.68,GET,200,images/games.html,Philippines,Wrestling,Often,Male,37,2
07:58:02,228.111.56.218,GET,403,ticketing.html,Thailand,Athletics,Once,Male,30,0
18:11:47,51.46.223.112,HEAD,301,index.html,Philippines,Badminton,Once,Male,40,0
21:05:42,246.201.164.119,GET,500,sechedule.html,Albania,Baseball,Daily,Male,25,0
00:00:43,180.156.19.221,PATCH,200,venue information.html,Mexico,Gymnastics,Once,Male,51,1
16:59:15,215.137.49.80,CONNECT,100,images/games.html,Indonesia,Football,Once,Male,40,2
00:51:06,45.240.52.202,GET,200,news.html,China,Baseball,Seldon,Non-binary,21,2
15:34:59,176.65.137.147,POST,200,ticketing.html,Peru,Swimming,Seldon,Male,54,1
16:20:39,236.24.72.201,CONNECT,100,images/games.html,China,Gymnastics,Often,Female,30,2
22:07:30,3.120.91.14,PATCH,301,index.html,China,Table Tennis,Daily,Female,63,1
13:35:01,175.120.216.129,GET,301,ticketing.html,Brazil,Athletics,Often,Male,39,0
04:39:31,50.139.74.162,GET,200,images/games.html,China,Badminton,Daily,Female,27,2
12:05:24,63.206.251.83,PATCH,400,volunteer.html,China,Badminton,Once,Female,65,0
05:20:29,75.88.156.175,GET,100,venue information.html,Sweden,Basketball,Once,Male,65,1
19:57:21,124.8.195.70,PATCH,200,images/games.html,Bulgaria,Athletics,Seldon,Female,35,2
03:56:35,152.228.89.131,HEAD,100,venue information.html,Colombia,Baseball,Often,Female,34,2
04:05:26,156.214.39.214,GET,200,index.html,Sweden,Athletics,Often,Male,47,1
23:44:32,169.122.117.83,GET,200,sechedule.html,Philippines,Football,Daily,Female,28,2
16:32:08,73.251.162.78,PUT,200,venue information.html,Dominican Republic,Swimming,Once,Male,44,2
10:37:06,143.231.191.128,POST,200,ticketing.html,Portugal,Football,Once,Female,18,2
05:04:30,218.85.111.56,HEAD,100,venue information.html,China,Gymnastics,Seldon,Male,49,1
12:01:51,148.214.86.222,PUT,400,ticketing.html,Jamaica,Boxing,Daily,Female,19,0
03:47:40,18.119.167.117,CONNECT,200,searchsports.html,France,Football,Daily,Female,58,1
12:30:32,166.184.161.183,HEAD,200,index.html,Mexico,Swimming,Seldon,Female,69,1
18:17:49,88.209.135.18,GET,200,venue information.html,Bangladesh,Badminton,Often,Female,25,2
09:58:28,245.100.154.148,GET,200,searchsports.html,Ghana,Volleyball,Seldon,Non-binary,31,2
22:26:55,244.226.28.192,POST,500,sechedule.html,Malaysia,Swimming,Daily,Non-binary,31,0
02:18:01,204.187.120.171,PUT,100,images/games.html,Poland,Weightlifting,Seldon,Male,40,2
07:23:55,142.184.120.194,CONNECT,200,venue information.html,China,Swimming,Often,Non-binary,55,1
20:15:47,236.55.149.111,GET,200,index.html,Cyprus,Football,Never,Male,33,2
06:28:32,57.85.40.255,PATCH,200,index.html,Portugal,Baseball,Often,Male,63,1
05:57:27,22.66.15.64,HEAD,200,searchsports.html,China,Football,Often,Male,50,1
18:00:44,96.57.123.62,PUT,200,venue information.html,China,Weightlifting,Often,Male,40,2
16:27:16,234.39.254.39,GET,200,venue information.html,Ireland,Gymnastics,Seldon,Male,28,2
15:47:07,110.130.129.241,HEAD,200,searchsports.html,Ukraine,Swimming,Seldon,Male,68,1
07:17:08,35.230.35.168,HEAD,200,ticketing.html,Sweden,Football,Often,Female,46,1
10:46:17,93.61.104.180,PUT,200,venue information.html,Mexico,Football,Seldon,Male,58,1
04:54:51,64.85.40.131,GET,200,venue information.html,Indonesia,Weightlifting,Once,Non-binary,20,2
13:58:38,232.101.72.24,HEAD,100,venue information.html,Indonesia,Athletics,Seldon,Male,55,1
00:22:38,143.45.127.179,HEAD,301,index.html,China,Volleyball,Once,Non-binary,70,1
03:44:01,85.40.216.112,CONNECT,200,ticketing.html,China,Football,Daily,Male,48,1
10:02:33,0.73.163.166,PATCH,100,volunteer.html,Philippines,Swimming,Once,Male,32,2
13:33:52,60.49.175.198,PUT,100,images/games.html,Poland,Swimming,Daily,Male,46,1
07:18:27,205.21.21.138,HEAD,200,index.html,China,Athletics,Daily,Female,64,1
10:18:10,203.98.52.5,GET,100,images/games.html,Czech Republic,Table Tennis,Seldon,Non-binary,44,2
11:52:21,190.143.218.34,GET,200,ticketing.html,China,Athletics,Often,Male,68,1
13:53:11,141.36.85.95,CONNECT,200,sechedule.html,Indonesia,Athletics,Often,Female,33,2
07:00:07,106.147.132.60,HEAD,200,searchsports.html,Guinea,Football,Seldon,Female,21,2
18:08:52,66.52.20.48,GET,200,sechedule.html,China,Football,Daily,Male,55,1
05:12:23,28.122.31.9,POST,301,index.html,China,Athletics,Once,Female,62,1
17:07:32,103.235.190.10,PATCH,301,index.html,Colombia,Baseball,Seldon,Non-binary,48,0
18:00:16,248.145.181.84,CONNECT,301,sechedule.html,Peru,Volleyball,Once,Female,59,1
02:25:00,186.232.116.217,GET,200,index.html,China,Table Tennis,Often,Female,29,2
21:33:15,183.188.206.137,PATCH,200,ticketing.html,Philippines,Football,Seldon,Non-binary,23,2
10:15:02,31.130.154.226,HEAD,100,index.html,Russia,Basketball,Often,Male,48,1
14:35:48,130.20.14.76,HEAD,100,ticketing.html,Tunisia,Table Tennis,Once,Female,60,1
06:36:14,124.74.133.174,GET,200,news.html,Russia,Swimming,Never,Non-binary,59,1
05:46:37,218.182.122.251,CONNECT,301,venue information.html,Albania,Table Tennis,Seldon,Male,36,0
18:20:07,213.148.208.95,PATCH,200,images/games.html,Ireland,Athletics,Once,Non-binary,45,1
22:11:21,137.52.163.198,GET,200,images/games.html,Czech Republic,Athletics,Seldon,Male,58,1
00:15:35,110.15.186.124,PATCH,200,sechedule.html,Austria,Swimming,Seldon,Male,56,1
09:49:11,166.197.245.248,POST,500,images/games.html,Russia,Volleyball,Often,Female,29,0
23:40:11,56.170.32.232,PATCH,301,images/games.html,China,Swimming,Seldon,Non-binary,47,0
01:32:48,177.197.235.220,GET,200,venue information.html,Indonesia,Athletics,Daily,Female,29,2
16:15:15,220.136.206.145,HEAD,100,ticketing.html,China,Swimming,Once,Non-binary,55,1
00:59:13,66.251.100.129,PATCH,200,sechedule.html,Russia,Athletics,Once,Male,65,1
23:43:47,70.34.141.155,HEAD,100,volunteer.html,Azerbaijan,Swimming,Once,Female,42,2
23:29:49,202.21.225.114,PATCH,200,venue information.html,China,Weightlifting,Often,Male,36,2
05:37:58,31.127.83.99,PUT,200,images/games.html,China,Football,Seldon,Male,60,1
19:41:36,228.185.64.173,PUT,301,venue information.html,China,Basketball,Often,Female,68,1
12:53:15,127.176.215.46,CONNECT,200,index.html,Jamaica,Football,Seldon,Female,46,1
11:59:49,59.123.190.120,POST,200,sechedule.html,Japan,Swimming,Often,Non-binary,70,1
06:37:45,69.228.146.255,CONNECT,200,sechedule.html,Argentina,Karate,Seldon,Female,53,1
02:59:05,254.215.199.103,PATCH,200,venue information.html,China,Table Tennis,Often,Male,66,1
13:17:03,247.181.208.193,PATCH,200,venue information.html,Mongolia,Badminton,Seldon,Female,64,1
10:17:21,34.182.162.142,GET,200,images/games.html,China,Basketball,Daily,Non-binary,18,2
01:55:42,80.240.241.135,POST,200,venue information.html,Philippines,Table Tennis,Once,Male,70,1
03:53:30,40.63.212.33,GET,200,images/games.html,Kenya,Volleyball,Often,Male,18,2
02:55:18,246.72.200.159,PATCH,100,images/games.html,Poland,Table Tennis,Once,Male,63,1
15:53:46,92.205.70.150,GET,200,sechedule.html,Indonesia,Athletics,Seldon,Non-binary,54,1
07:11:58,131.243.68.26,GET,200,sechedule.html,Indonesia,Baseball,Seldon,Female,21,2
01:50:58,254.220.4.39,GET,200,venue information.html,Poland,Table Tennis,Often,Female,52,1
22:38:31,183.188.187.238,POST,200,venue information.html,Philippines,Swimming,Seldon,Male,60,1
06:21:52,94.26.70.31,GET,400,ticketing.html,China,Swimming,Daily,Male,68,0
14:04:41,95.36.230.160,GET,200,images/games.html,Indonesia,Badminton,Once,Male,46,1
01:43:20,213.136.197.116,GET,200,venue information.html,Indonesia,Swimming,Seldon,Male,25,2
14:37:21,215.225.145.30,HEAD,200,index.html,Philippines,Basketball,Seldon,Female,34,2
18:30:07,239.78.106.133,CONNECT,200,sechedule.html,France,Swimming,Once,Male,44,2
02:40:58,130.123.29.0,HEAD,301,venue information.html,China,Weightlifting,Seldon,Non-binary,27,0
18:36:42,49.214.4.92,POST,200,searchsports.html,China,Table Tennis,Once,Male,40,2
06:32:10,140.147.246.252,HEAD,200,images/games.html,China,Basketball,Often,Male,69,1
19:05:54,148.112.142.59,PUT,100,ticketing.html,Russia,Swimming,Daily,Non-binary,59,1
23:08:46,95.184.169.118,POST,200,index.html,France,Table Tennis,Never,Male,52,1
06:59:12,48.4.9.252,GET,200,searchsports.html,Czech Republic,Table Tennis,Once,Female,19,2
00:24:42,183.254.220.126,CONNECT,400,ticketing.html,Thailand,Swimming,Once,Male,61,0
11:03:50,122.136.26.206,HEAD,200,ticketing.html,China,Football,Seldon,Female,63,1
09:28:00,18.132.158.235,PUT,100,searchsports.html,Japan,Gymnastics,Daily,Male,22,2
21:27:22,77.182.224.246,PUT,301,searchsports.html,Russia,Fencing,Often,Male,19,0
09:44:04,230.83.213.136,GET,400,index.html,Peru,Volleyball,Often,Female,49,0
19:38:34,9.63.87.154,HEAD,100,sponsorship.html,China,Gymnastics,Often,Female,38,2
18:03:13,73.131.227.114,GET,200,images/games.html,Germany,Athletics,Once,Female,23,2
02:33:23,139.90.17.118,GET,100,images/games.html,Russia,Swimming,Never,Female,49,1
09:47:52,107.213.194.201,GET,200,searchsports.html,Mexico,Swimming,Once,Male,54,1
12:47:07,241.138.126.193,HEAD,301,images/games.html,Portugal,Baseball,Seldon,Male,61,1
23:29:49,113.16.12.152,CONNECT,200,images/games.html,South Africa,Athletics,Seldon,Female,25,2
23:46:20,112.64.92.34,GET,200,venue information.html,Thailand,Athletics,Seldon,Male,38,2
08:15:47,214.107.11.158,GET,100,news.html,Poland,Gymnastics,Often,Male,41,2
11:52:21,78.6.253.96,CONNECT,200,sechedule.html,China,Table Tennis,Once,Male,52,1
20:54:43,48.151.235.142,PUT,200,images/games.html,Philippines,Swimming,Once,Female,20,2
16:14:11,23.159.158.37,GET,200,images/games.html,Portugal,Swimming,Never,Non-binary,56,1
17:00:07,192.85.232.70,GET,100,index.html,Thailand,Swimming,Seldon,Female,68,1
01:36:36,244.164.129.47,GET,200,news.html,Colombia,Athletics,Often,Male,31,2
00:32:32,151.20.32.26,PUT,200,index.html,Argentina,Badminton,Often,Female,41,2
16:36:24,237.119.42.21,PATCH,100,images/games.html,France,Karate,Often,Female,21,2
10:38:40,197.19.91.40,PATCH,100,searchsports.html,Croatia,Athletics,Seldon,Male,51,1
15:10:16,142.250.90.219,HEAD,301,images/games.html,Macedonia,Weightlifting,Seldon,Female,28,0
22:22:58,134.207.199.185,HEAD,500,sponsorship.html,Netherlands,Swimming,Once,Male,60,0
19:19:53,253.13.146.112,GET,200,searchsports.html,Philippines,Football,Once,Male,20,2
06:48:45,253.62.113.243,CONNECT,200,sechedule.html,Indonesia,Swimming,Never,Non-binary,23,2
07:30:26,123.177.0.80,CONNECT,200,images/games.html,Syria,Volleyball,Often,Non-binary,62,1
14:04:50,155.145.195.72,GET,200,venue information.html,Botswana,Gymnastics,Often,Female,62,1
01:08:53,133.115.148.171,PATCH,200,index.html,Poland,Swimming,Often,Male,63,1
16:00:05,112.157.172.222,PUT,400,sechedule.html,Philippines,Athletics,Never,Female,50,0
05:43:40,186.101.9.1,GET,200,index.html,Tanzania,Swimming,Seldon,Male,50,1
15:37:28,93.184.61.87,GET,200,images/games.html,Vietnam,Football,Seldon,Female,32,2
07:57:30,238.137.217.59,CONNECT,301,sponsorship.html,Venezuela,Badminton,Often,Female,34,0
06:37:51,232.58.129.77,CONNECT,400,index.html,Poland,Football,Once,Male,44,0
12:32:19,66.224.39.237,CONNECT,200,images/games.html,Indonesia,Table Tennis,Daily,Male,40,2
22:52:31,251.0.129.176,GET,200,ticketing.html,Colombia,Table Tennis,Often,Male,64,1
11:39:41,99.229.221.179,POST,200,venue information.html,China,Athletics,Often,Female,39,2
04:38:59,125.78.110.228,PATCH,400,images/games.html,Poland,Football,Seldon,Non-binary,24,0
02:36:57,1.164.79.28,GET,200,ticketing.html,United States,Football,Never,Non-binary,66,1
19:48:36,225.206.238.43,PATCH,200,sechedule.html,China,Volleyball,Seldon,Male,51,1
00:11:32,110.211.95.131,PATCH,100,venue information.html,China,Swimming,Once,Non-binary,44,2
16:58:05,12.93.146.215,PUT,200,news.html,Tanzania,Weightlifting,Once,Male,35,2
02:37:08,180.124.88.20,POST,100,volunteer.html,Philippines,Gymnastics,Once,Male,47,1
13:38:46,138.235.55.132,PATCH,403,sechedule.html,Spain,Gymnastics,Daily,Female,61,0
11:30:51,216.15.30.29,GET,200,index.html,Venezuela,Table Tennis,Seldon,Male,31,2
09:14:30,252.39.244.243,GET,200,sechedule.html,Brazil,Table Tennis,Seldon,Male,41,2
17:53:48,123.178.222.36,PATCH,200,sechedule.html,China,Football,Often,Male,28,2
03:28:40,41.19.242.127,HEAD,200,news.html,Syria,Football,Once,Female,20,2
02:58:45,16.113.237.66,PATCH,200,index.html,Madagascar,Football,Often,Male,51,1
03:12:29,153.188.147.95,PUT,200,sechedule.html,Portugal,Karate,Seldon,Male,55,1
08:06:01,243.181.188.79,GET,200,images/games.html,China,Basketball,Never,Male,57,1
07:20:58,199.154.23.165,PATCH,500,sechedule.html,Philippines,Boxing,Once,Male,36,0
16:30:49,229.75.40.70,GET,200,venue information.html,China,Table Tennis,Once,Male,18,2
14:06:03,59.144.236.242,HEAD,100,news.html,Sweden,Athletics,Never,Non-binary,59,1
16:12:21,4.69.133.7,PATCH,200,venue information.html,Russia,Swimming,Once,Male,52,1
07:42:33,234.103.25.62,PATCH,200,ticketing.html,Mongolia,Swimming,Often,Male,27,2
14:53:24,204.14.152.198,CONNECT,100,ticketing.html,Greece,Table Tennis,Seldon,Male,56,1
20:14:18,66.242.222.171,CONNECT,200,searchsports.html,Russia,Badminton,Daily,Male,39,2
10:32:33,162.69.1.213,CONNECT,200,venue information.html,Philippines,Gymnastics,Never,Female,60,1
11:53:48,39.60.56.221,PATCH,200,images/games.html,Morocco,Badminton,Often,Female,58,1
09:09:50,51.130.160.128,CONNECT,100,venue information.html,Venezuela,Baseball,Once,Male,34,2
23:06:45,91.251.44.130,HEAD,200,index.html,Indonesia,Swimming,Daily,Male,19,2
21:45:04,56.141.26.158,HEAD,301,venue information.html,Ukraine,Athletics,Seldon,Male,42,0
21:43:39,222.12.77.99,HEAD,200,sechedule.html,Russia,Basketball,Daily,Female,57,1
12:58:21,247.155.30.138,PUT,200,venue information.html,Peru,Volleyball,Often,Male,23,2
21:30:34,83.194.178.49,GET,200,news.html,Russia,Swimming,Seldon,Male,38,2
22:57:35,74.77.117.134,CONNECT,200,index.html,China,Football,Daily,Female,38,2
10:19:58,227.214.254.252,GET,200,ticketing.html,China,Gymnastics,Seldon,Non-binary,20,2
17:29:57,170.53.149.122,PUT,200,index.html,France,Baseball,Seldon,Male,64,1
03:01:56,109.96.70.250,CONNECT,100,ticketing.html,Ukraine,Basketball,Once,Male,54,1
17:06:23,160.29.83.158,PATCH,200,index.html,China,Basketball,Often,Male,37,2
07:46:07,120.239.212.169,HEAD,200,sponsorship.html,Brazil,Athletics,Once,Male,42,2
17:08:59,208.195.139.46,PATCH,200,ticketing.html,China,Swimming,Once,Female,50,1
04:07:41,97.170.238.215,GET,200,venue information.html,Morocco,Football,Seldon,Male,50,1
22:30:39,67.249.162.37,GET,200,sechedule.html,Thailand,Swimming,Seldon,Male,31,2
21:36:51,56.152.24.118,GET,200,images/games.html,China,Table Tennis,Daily,Male,39,2
17:27:39,227.241.98.243,PATCH,200,images/games.html,China,Table Tennis,Often,Male,34,2
09:19:23,40.104.43.148,CONNECT,200,searchsports.html,Indonesia,Badminton,Seldon,Female,58,1
07:54:00,233.27.67.149,HEAD,301,news.html,Argentina,Athletics,Seldon,Male,26,0
11:09:08,148.240.195.147,HEAD,200,ticketing.html,Vietnam,Athletics,Often,Female,29,2
15:06:41,111.195.134.33,PATCH,200,images/games.html,Portugal,Basketball,Often,Female,42,2
01:20:27,137.2.24.200,HEAD,100,index.html,China,Diving,Daily,Female,55,1
05:03:27,18.1.71.177,HEAD,200,images/games.html,Brazil,Swimming,Never,Male,55,1
05:40:53,194.147.233.62,GET,200,searchsports.html,China,Football,Often,Male,31,2
23:22:03,200.159.147.211,GET,500,venue information.html,Indonesia,Volleyball,Seldon,Male,25,0
15:21:44,239.203.96.222,PATCH,200,images/games.html,China,Badminton,Daily,Male,33,2
02:36:05,255.20.110.31,CONNECT,200,sechedule.html,South Korea,Football,Daily,Female,32,2
02:33:10,9.218.19.183,PATCH,100,sechedule.html,Armenia,Swimming,Seldon,Male,34,2
16:08:53,166.211.127.39,HEAD,301,images/games.html,Portugal,Baseball,Often,Male,45,0
08:26:34,151.91.151.24,POST,200,images/games.html,Czech Republic,Swimming,Seldon,Female,54,1
17:21:07,198.52.80.180,HEAD,200,ticketing.html,Sweden,Athletics,Seldon,Male,53,1
02:49:37,201.185.34.165,HEAD,200,images/games.html,China,Football,Seldon,Male,69,1
18:07:14,108.10.165.154,GET,100,searchsports.html,Russia,Swimming,Daily,Male,39,2
01:41:03,100.87.110.65,GET,200,venue information.html,Peru,Table Tennis,Once,Male,44,2
17:05:26,240.48.131.223,HEAD,200,images/games.html,Indonesia,Athletics,Often,Female,58,1
10:13:11,199.105.105.237,POST,200,venue information.html,Ukraine,Athletics,Seldon,Male,37,2
00:32:11,165.244.37.33,HEAD,100,searchsports.html,China,Wrestling,Seldon,Male,37,2
20:13:03,157.174.8.169,GET,100,images/games.html,Croatia,Football,Seldon,Female,47,1
10:20:42,94.154.89.190,CONNECT,200,images/games.html,France,Football,Daily,Female,26,2
00:33:37,65.255.152.22,HEAD,200,sechedule.html,Sweden,Weightlifting,Often,Male,26,2
12:50:23,127.75.117.171,PATCH,100,searchsports.html,Nigeria,Football,Seldon,Female,25,2
06:16:53,137.31.137.172,HEAD,200,index.html,China,Gymnastics,Often,Female,48,1
23:15:12,36.246.207.108,HEAD,200,images/games.html,Brazil,Athletics,Often,Male,31,2
23:16:28,210.28.109.198,PATCH,200,images/games.html,Japan,Basketball,Seldon,Male,67,1
04:16:38,243.50.56.82,GET,100,news.html,Nigeria,Swimming,Seldon,Male,51,1
00:55:39,238.35.133.72,GET,200,images/games.html,Indonesia,Boxing,Seldon,Male,46,1
07:09:14,27.253.106.231,POST,200,sechedule.html,Bosnia and Herzegovina,Weightlifting,Daily,Male,33,2
04:45:08,84.207.49.175,PATCH,100,images/games.html,China,Volleyball,Daily,Male,29,2
03:31:20,75.139.72.23,HEAD,200,ticketing.html,France,Athletics,Seldon,Male,35,2
12:20:02,32.96.148.165,PATCH,200,index.html,China,Swimming,Seldon,Male,51,1
